rank,personName,age,country,source,industries,title,finalWorth,gender,birthDate
581,Russ Weiner,53,United States,Energy drinks,['Food & Beverage'],,5200.0,M,10713600000
581,Wu Jianshu,60,China,Auto parts,['Automotive'],,5200.0,M,-189388800000
597,Ron Baron,80,United States,Money management,['Finance & Investments'],,5100.0,M,-839808000000
597,Garrett Camp,45,United States,Uber,['Technology'],Cofounder and Chairman,5100.0,M,276307200000
597,Dagmar Dolby & family,82,United States,Dolby Laboratories,['Technology'],,5100.0,F,-899769600000
597,Bill Haslam,65,United States,Gas stations,['Fashion & Retail'],,5100.0,M,-358473600000
597,John Henry,74,United States,Sports,['Sports'],,5100.0,M,-640656000000
597,Dietmar Hopp & family,83,Germany,Software,['Technology'],,5100.0,M,-936748800000
597,Justin Ishbia,46,United States,Private equity,['Finance & Investments'],,5100.0,M,243388800000
597,Joseph Liemandt,55,United States,Software,['Technology'],,5100.0,M,-44409600000
597,Liu Yonghao & family,72,China,Agribusiness,['Service'],,5100.0,M,-578620800000
597,Sami Mnaymneh,62,United States,Private equity,['Finance & Investments'],,5100.0,M,-267321600000
597,Jean (Gigi) Pritzker,61,United States,"Hotels, investments",['Service'],,5100.0,F,-236822400000
597,Hussain Sajwani,71,United Arab Emirates,Real estate,['Real Estate'],,5100.0,M,-531360000000
597,Tony Tamer,66,United States,Private equity,['Finance & Investments'],,5100.0,M,-385689600000
597,Murat Ulker,65,Turkey,Food,['Food & Beverage'],,5100.0,M,-340156800000
597,Romesh T. Wadhwani,76,United States,Software,['Technology'],Founder and Chairman,5100.0,M,-705456000000
612,Ben Chestnut,49,United States,Email marketing,['Technology'],,5000.0,M,140486400000
612,Vinod Rai Gupta,78,India,Electrical equipment,['Manufacturing'],,5000.0,F,-766713600000
612,Helen Johnson-Leipold,67,United States,Cleaning products,['Manufacturing'],,5000.0,F,-410400000000
612,Daryl Katz,62,Canada,Pharmacies,['Diversified'],Founder and Chairman,5000.0,M,-263001600000
612,Timur Kulibayev,57,Kazakhstan,Banking,['Finance & Investments'],,5000.0,M,-104457600000
612,Dinara Kulibaeva,56,Kazakhstan,Banking,['Finance & Investments'],,5000.0,F,-74822400000
612,Michel Leclercq & family,84,France,Sporting goods,['Fashion & Retail'],,5000.0,M,-965692800000
612,Luo Liguo & family,68,China,Chemicals,['Manufacturing'],,5000.0,M,-436665600000
612,John Sall,75,United States,Software,['Technology'],"Co-Founder, Executive Vice President",5000.0,M,-686188800000
612,Alexandra Schoerghuber & family,65,Germany,Real estate,['Real Estate'],,5000.0,F,-361065600000
612,Mark Shoen,73,United States,U-Haul,['Automotive'],,5000.0,M,-603244800000
612,Ken Xie,61,United States,Cybersecurity,['Technology'],,5000.0,M,-218764800000
624,Margot Birmingham Perot,90,United States,"Computer services, real estate",['Technology'],,4900.0,F,-1140134400000
624,Alejandro Bulgheroni,79,Uruguay,Oil & gas,['Energy'],,4900.0,M,-794188800000
624,Albert Chao & family,74,United States,"Chemicals, building products",['Manufacturing'],,4900.0,M,-645840000000
624,James Chao & family,76,United States,"Chemicals, building products",['Manufacturing'],,4900.0,M,-703641600000
624,Dorothy Chao Jenkins & family,78,United States,"Chemicals, building products",['Manufacturing'],,4900.0,F,-766713600000
624,Mong-Koo Chung,86,South Korea,Hyundai,['Automotive'],,4900.0,M,-1003190400000
624,Jack Dorsey,47,United States,"Twitter, Square",['Technology'],Cofounder,4900.0,M,217209600000
624,Johnelle Hunt,92,United States,Trucking,['Logistics'],,4900.0,F,-1198972800000
624,Bidzina Ivanishvili,68,Georgia,Investments,['Finance & Investments'],,4900.0,M,-437702400000
624,H. Fisk Johnson,65,United States,Cleaning products,['Manufacturing'],,4900.0,M,-366768000000
624,S. Curtis Johnson,68,United States,Cleaning products,['Manufacturing'],,4900.0,M,-462672000000
624,Ananda Krishnan,86,Malaysia,"Telecoms, media, oil-services",['Telecom'],,4900.0,M,-1002067200000
624,Margarita Louis-Dreyfus & family,61,Switzerland,Commodities,['Food & Beverage'],President,4900.0,F,-239414400000
624,Winifred J. Marquart,64,United States,Cleaning products,['Manufacturing'],,4900.0,F,-338947200000
624,Firoz Mistry,27,India,Diversified,['Diversified'],,4900.0,M,852076800000
624,Zahan Mistry,25,India,Diversified,['Diversified'],,4900.0,M,915148800000
624,Arturo Moreno,77,United States,"Billboards, Los Angeles Angels",['Sports'],,4900.0,M,-737942400000
624,Chandru Raheja,83,India,Real estate,['Real Estate'],,4900.0,M,-923097600000
624,Mitchell Rales,67,United States,"Manufacturing, investments",['Manufacturing'],,4900.0,M,-421718400000
624,Trevor Rees-Jones,72,United States,Oil & gas,['Energy'],,4900.0,M,-580348800000
624,Odd Reitan & family,72,Norway,"Retail, real estate",['Fashion & Retail'],,4900.0,M,-577756800000
624,Vivek Chaand Sehgal,67,India,Auto parts,['Automotive'],,4900.0,M,-418435200000
624,Herbert Wertheim,84,United States,Investments,['Finance & Investments'],,4900.0,M,-966038400000
624,Zhang Yong,53,Singapore,Restaurants,['Food & Beverage'],,4900.0,M,15638400000
648,Giuseppe De'Longhi & family,84,Italy,Coffee makers,['Fashion & Retail'],,4800.0,M,-968544000000
648,Stephen Feinberg,64,United States,Private equity,['Finance & Investments'],Co-founder and CEO,4800.0,M,-308016000000
648,Carlo Fidani,69,Canada,Real estate,['Real Estate'],Chairman,4800.0,M,-473385600000
648,Rakesh Gangwal,70,United States,Airline,['Service'],,4800.0,M,-518745600000
648,Gao Dekang & family,72,China,Apparel,['Fashion & Retail'],,4800.0,M,-565401600000
648,Renuka Jagtiani,70,United Arab Emirates,Retail,['Fashion & Retail'],,4800.0,F,-504921600000
648,Nithin Kamath,44,India,Financial services,['Finance & Investments'],,4800.0,M,307929600000
648,Richard Liu,50,China,E-commerce,['Technology'],,4800.0,M,132105600000
648,Michael Pieper,78,Switzerland,Kitchen appliances,['Manufacturing'],CEO of Artemis Group,4800.0,M,-754358400000
648,Herb Simon,89,United States,Real estate,['Real Estate'],"Chairman Emeritus of the Board of Simon Property Group, Inc.",4800.0,M,-1110585600000
648,Steven Spielberg,77,United States,Movies,['Media & Entertainment'],,4800.0,M,-727056000000
648,Tahir & family,72,Indonesia,Diversified,['Diversified'],,4800.0,M,-560736000000
648,Hansjoerg Wyss,89,United States,Medical devices,['Healthcare'],,4800.0,M,-1104537600000
661,Rocco Basilico,34,United States,Eyeglasses,['Fashion & Retail'],,4700.0,M,616118400000
661,William Berkley,77,United States,Insurance,['Finance & Investments'],Chairman,4700.0,M,-736387200000
661,Leonid Boguslavsky,72,Italy,Venture capital,['Finance & Investments'],,4700.0,M,-585187200000
661,Chan Laiwa & family,83,China,Real estate,['Real Estate'],,4700.0,F,-915148800000
661,Giuseppe Crippa & family,88,Italy,Microchip testing,['Manufacturing'],,4700.0,M,-1093824000000
661,Kenneth Dart,68,Cayman Islands,Investments,['Finance & Investments'],,4700.0,M,-463881600000
661,Claudio Del Vecchio,67,United States,Eyeglasses,['Fashion & Retail'],,4700.0,M,-405388800000
661,Clemente Del Vecchio,19,Italy,Eyeglases,['Fashion & Retail'],,4700.0,M,1083801600000
661,Leonardo Maria Del Vecchio,28,Italy,Eyeglasses,['Fashion & Retail'],,4700.0,M,799718400000
661,Luca Del Vecchio,22,United Kingdom,Eyeglasses,['Fashion & Retail'],,4700.0,M,997660800000
661,Marisa Del Vecchio,65,Italy,Eyeglasses,['Fashion & Retail'],,4700.0,F,-362275200000
661,Paola Del Vecchio,62,Luxembourg,Eyeglasses,['Fashion & Retail'],,4700.0,F,-272505600000
661,W. Herbert Hunt,95,United States,Oil,['Energy'],Investor,4700.0,M,-1288310400000
661,Jim Kavanaugh,61,United States,IT provider,['Technology'],,4700.0,M,-227491200000
661,Friedrich Knapp,72,Germany,Fashion retail,['Fashion & Retail'],,4700.0,M,-588816000000
661,Bin Lin,56,China,Smartphones,['Technology'],,4700.0,M,-60480000000
661,Lin Jianhua,61,China,Solar panel components,['Manufacturing'],,4700.0,M,-234144000000
661,Ian Livingstone,61,United Kingdom,Real estate,['Real Estate'],,4700.0,M,-240278400000
661,Richard Livingstone,59,United Kingdom,Real estate,['Real Estate'],,4700.0,M,-160617600000
661,Willy Michel,77,Switzerland,Medical devices,['Healthcare'],,4700.0,M,-725846400000
661,N.R. Narayana Murthy,77,India,Software services,['Technology'],,4700.0,M,-737424000000
661,Georg Nemetschek & family,90,Germany,Software,['Technology'],,4700.0,M,-1136073600000
661,Dirk Rossmann & family,77,Germany,Drugstores,['Fashion & Retail'],,4700.0,M,-735868800000
661,Nicoletta Zampillo,66,Monaco,Eyeglasses,['Fashion & Retail'],,4700.0,F,-371260800000
661,Zhu Yi,60,China,Pharmaceuticals,['Healthcare'],,4700.0,M,-192067200000
686,Juan Domingo Beckmann Legorreta & family,56,Mexico,Tequila,['Food & Beverage'],,4600.0,M,-79056000000
686,Sanjit Biswas,42,United States,Sensor systems,['Technology'],,4600.0,M,379641600000
686,Francesco Gaetano Caltagirone,81,Italy,"Cement, diversified",['Construction & Engineering'],,4600.0,M,-845251200000
686,Kim Beom-su,58,South Korea,Online services,['Technology'],,4600.0,M,-118886400000
686,Ronald Lauder,80,United States,Estee Lauder,['Fashion & Retail'],,4600.0,M,-815702400000
686,Jeffrey Lurie & family,72,United States,Philadelphia Eagles,['Sports'],,4600.0,M,-578016000000
686,Gwendolyn Sontheim Meyer,62,United States,Cargill,['Food & Beverage'],,4600.0,F,-258163200000
686,Akio Nitori,80,Japan,Home furnishings,['Fashion & Retail'],,4600.0,M,-815011200000
686,Kjell Inge Rokke,65,Norway,"Shipping, seafood",['Logistics'],,4600.0,M,-353030400000
686,Yasumitsu Shigeta,59,Japan,Mobile phone retailer,['Telecom'],,4600.0,M,-153014400000
686,Zhu Baoguo & family,61,China,Pharmaceuticals,['Healthcare'],,4600.0,M,-242611200000
697,John Bicket,44,United States,Sensor systems,['Technology'],,4500.0,M,322358400000
697,Jim Coulter,64,United States,Private equity,['Finance & Investments'],,4500.0,M,-318297600000
697,Brunello Cucinelli & family,70,Italy,Fashion,['Fashion & Retail'],,4500.0,M,-515289600000
697,Jeff T. Green,47,United States,Digital advertising,['Media & Entertainment'],,4500.0,M,228528000000
697,"Jeremy Jacobs, Sr. & family",84,United States,Food service,['Service'],,4500.0,M,-945043200000
697,Dewi Kam,73,Indonesia,Coal,['Energy'],,4500.0,F,-613612800000
697,Lai Meisong,53,China,Package delivery,['Logistics'],,4500.0,M,28857600000
697,Li Ping,56,China,Batteries,['Automotive'],,4500.0,M,-63158400000
697,Richard Li,57,Hong Kong,Telecom,['Telecom'],,4500.0,M,-99360000000
697,Jorge Moll Filho & family,79,Brazil,Hospitals,['Healthcare'],,4500.0,M,-788918400000
697,Vikas Oberoi,53,India,Real estate,['Real Estate'],,4500.0,M,21600000000
697,Lynn Schusterman & family,85,United States,"Oil & gas, investments",['Energy'],,4500.0,F,-976579200000
697,Jeff Skoll,59,United States,EBay,['Technology'],,4500.0,M,-156470400000
697,Jerzy Starak,76,Poland,Pharmaceuticals,['Healthcare'],,4500.0,M,-696038400000
697,Yitzhak Tshuva,75,Israel,Real estate,['Real Estate'],,4500.0,M,-678067200000
712,Joy Alukkas,67,India,Jewelry,['Fashion & Retail'],,4400.0,M,-420508800000
712,Jim Davis,64,United States,Staffing & recruiting,['Service'],,4400.0,M,-309398400000
712,Juan Carlos Escotet,64,Spain,Banking,['Finance & Investments'],,4400.0,M,-329616000000
712,Peter Grogg,82,Switzerland,Biochemicals,['Healthcare'],,4400.0,M,-882835200000
712,Carlos Hank Rhon & family,76,Mexico,Banking,['Diversified'],,4400.0,M,-696211200000
712,Reed Hastings,63,United States,Netflix,['Technology'],CEO,4400.0,M,-291340800000
712,Martha Ingram & family,88,United States,"Book distribution, transportation",['Media & Entertainment'],Former Chairman,4400.0,F,-1084579200000
712,James Irsay,64,United States,Indianapolis Colts,['Sports'],CEO,4400.0,M,-333072000000
712,"Rupert Johnson, Jr.",83,United States,Franklin Templeton,['Finance & Investments'],Vice Chairman and Director,4400.0,M,-927590400000
712,Andrei Kozitsyn,63,Russia,Metals,['Metals & Mining'],,4400.0,M,-301795200000
712,Cliff Obrecht,38,Australia,Software,['Technology'],,4400.0,M,504576000000
712,Melanie Perkins,36,Australia,Software,['Technology'],Co-Founder & CEO,4400.0,F,547862400000
712,Isaac Perlmutter,81,United States,Marvel comics,['Media & Entertainment'],Chairman,4400.0,M,-854755200000
712,Pham Nhat Vuong,55,Vietnam,Diversified,['Diversified'],,4400.0,M,-44409600000
712,Michael Saylor,59,United States,Cryptocurrency,['Technology'],,4400.0,M,-154828800000
712,Gil Shwed,55,Israel,Software,['Technology'],,4400.0,M,-49075200000
712,Stephen Smith,72,Canada,Finance and investments,['Finance & Investments'],,4400.0,M,-586483200000
712,Dan Snyder,59,United States,Washington Commanders,['Sports'],,4400.0,M,-161136000000
712,Michal Strnad,31,,Defense Contracting,['Manufacturing'],,4400.0,M,712886400000
712,Stefan von Holtzbrinck,60,Germany,Publishing,['Media & Entertainment'],,4400.0,M,-209347200000
712,Nusli Wadia,80,India,Consumer goods,['Food & Beverage'],,4400.0,M,-816652800000
712,Xiang Guangda,66,China,Metals,['Metals & Mining'],,4400.0,M,-378691200000
734,William Ackman,57,United States,Hedge funds,['Finance & Investments'],"Founder, CEO",4300.0,M,-114998400000
734,Pyotr Aven,69,Latvia,"Oil, banking, telecom",['Finance & Investments'],,4300.0,M,-466992000000
734,Nick Caporella,88,United States,Beverages,['Food & Beverage'],,4300.0,M,-1071792000000
734,John Catsimatidis,75,United States,"Oil, real estate",['Energy'],,4300.0,M,-672710400000
734,John Coates,54,United Kingdom,Online gambling,['Gambling & Casinos'],,4300.0,M,518400000
734,Tench Coxe,66,United States,Venture capital,['Finance & Investments'],,4300.0,M,-377568000000
734,Daniel D'Aniello,77,United States,Private equity,['Finance & Investments'],,4300.0,M,-735264000000
734,Wesley Edens,62,United States,Investments,['Finance & Investments'],,4300.0,M,-257817600000
734,Abhay Firodia,79,India,Automobiles,['Automotive'],,4300.0,M,-793843200000
734,Luca Garavoglia,55,Italy,Spirits,['Food & Beverage'],,4300.0,M,-26611200000
734,Hong Ra-hee,78,South Korea,Samsung,['Technology'],,4300.0,F,-772070400000
734,Jin Baofang,71,China,Solar panels,['Energy'],,4300.0,M,-546998400000
734,Marc Ladreit de Lacharriere,83,France,Finance,['Finance & Investments'],,4300.0,M,-919987200000
734,Mark Leonard & family,67,Canada,Software,['Technology'],,4300.0,M,-430963200000
734,Li Zhenguo & family,56,China,Solar wafers and modules,['Manufacturing'],,4300.0,M,-63158400000
734,Gabe Newell,61,United States,Videogames,['Gambling & Casinos'],Cofounder and CEO,4300.0,M,-226022400000
734,Clive Palmer,70,Australia,Mining,['Metals & Mining'],,4300.0,M,-497664000000
734,Emanuele (Lino) Saputo & family,87,Canada,Cheese,['Food & Beverage'],Chairman,4300.0,M,-1041379200000
734,Shaul Shani,69,Italy,Telecom,['Telecom'],,4300.0,M,-473385600000
734,E. Joe Shoen,74,United States,U-Haul,['Automotive'],,4300.0,M,-636768000000
734,Frank Wang,43,China,Drones,['Technology'],Founder and CEO,4300.0,M,341712000000
734,Michael Xie,55,United States,Cybersecurity,['Technology'],,4300.0,M,-27216000000
756,"Austen Cargill, II.",73,United States,Cargill,['Food & Beverage'],,4200.0,M,-593827200000
756,"James Cargill, II.",74,United States,Cargill,['Food & Beverage'],,4200.0,M,-654393600000
756,Barry Diller,82,United States,Online media,['Media & Entertainment'],,4200.0,M,-880848000000
756,Charles Edelstenne,86,France,Aviation,['Manufacturing'],,4200.0,M,-1009670400000
756,Daniel Ek,41,Sweden,Spotify,['Technology'],CEO,4200.0,M,414633600000
756,Maggie Gu,,China,Shein,['Fashion & Retail'],,4200.0,F,
756,Rajiv Jain,56,United States,Finance,['Finance & Investments'],,4200.0,M,-60912000000
756,Peter Kellogg,81,United States,Investments,['Finance & Investments'],,4200.0,M,-862617600000
756,Egor Kulkov,52,Switzerland,Pharmaceuticals,['Healthcare'],,4200.0,M,60912000000
756,Marianne Liebmann,70,United States,Cargill,['Food & Beverage'],,4200.0,F,-519955200000
756,Molly Miao,,China,Shein,['Fashion & Retail'],,4200.0,F,
756,Rajan Raheja & family,69,India,Diversified,['Diversified'],,4200.0,M,-491875200000
756,Ren Xiaoqing,,China,Shein,['Fashion & Retail'],,4200.0,M,
756,Steven Udvar-Hazy,78,United States,Aircraft leasing,['Service'],CEO and Chairman,4200.0,M,-752803200000
756,Gustav Magnar Witzoe,30,Norway,Fish farming,['Food & Beverage'],,4200.0,M,735436800000
756,Samuel Yin,73,Taiwan,Retail,['Diversified'],,4200.0,M,-611539200000
756,Yu Renrong,58,China,Semiconductors,['Manufacturing'],,4200.0,M,-118454400000
756,Eric Yuan & family,54,United States,Zoom Video Communications,['Technology'],Founder and CEO,4200.0,M,4320000000
756,Zhang Daocai,74,China,Valves,['Diversified'],,4200.0,M,-631152000000
775,Maggie Hardy,58,United States,Building materials,['Service'],"CEO, Owner",4100.0,F,-128390400000
775,Brad Jacobs,67,United States,Logistics,['Logistics'],,4100.0,M,-426124800000
775,Hamilton James & family,72,United States,Investments,['Finance & Investments'],,4100.0,M,-581126400000
775,Jian Yao,,Hong Kong,Medical devices,['Healthcare'],,4100.0,F,
775,Jiang Bin,57,China,Acoustic components,['Technology'],,4100.0,M,-103939200000
775,Baba Kalyani,75,India,Engineering,['Automotive'],,4100.0,M,-662169600000
775,Richard Schulze,83,United States,Best Buy,['Fashion & Retail'],Chairman,4100.0,M,-915062400000
775,Erik Selin,56,Sweden,Real estate,['Real Estate'],,4100.0,M,-83721600000
775,Djoko Susanto,74,Indonesia,Supermarkets,['Fashion & Retail'],,4100.0,M,-627782400000
775,Takao Yasuda,74,Singapore,Retail,['Fashion & Retail'],,4100.0,M,-651801600000
785,Rinat Akhmetov,57,Ukraine,"Steel, coal",['Metals & Mining'],,4000.0,M,-103507200000
785,Isak Andic & family,70,Spain,Fashion retail,['Fashion & Retail'],,4000.0,M,-511228800000
785,Cai Kui,61,China,Real estate,['Real Estate'],,4000.0,M,-220924800000
785,James Chambers,66,United States,"Media, automotive",['Media & Entertainment'],,4000.0,M,-401500800000
785,Nicolas D'Ieteren,48,Switzerland,"Auto parts, distribution",['Automotive'],,4000.0,M,166579200000
785,Sergei Gordeev,51,Russia,Real estate,['Real Estate'],,4000.0,M,91238400000
785,Antti Herlin,67,Finland,"Elevators, escalators",['Manufacturing'],,4000.0,M,-414374400000
785,Marian Ilitch,91,United States,Little Caesars Pizza,['Food & Beverage'],,4000.0,F,-1167091200000
785,Vivek Jain,68,India,Chemicals,['Manufacturing'],,4000.0,M,-452563200000
785,Jian Jun,60,China,Biomedical products,['Healthcare'],,4000.0,F,-194659200000
785,Lee Boo-jin,53,South Korea,Samsung,['Technology'],President and CEO,4000.0,F,24019200000
785,Lim Hariyanto Wijaya Sarwono,95,Indonesia,"Palm oil, nickel mining",['Metals & Mining'],,4000.0,M,-1299110400000
785,Tom Morris,69,United Kingdom,Retail,['Fashion & Retail'],,4000.0,M,-481248000000
785,Roger Penske,87,United States,Cars,['Automotive'],,4000.0,M,-1037059200000
785,Katharine Rayner,79,United States,"Media, automotive",['Media & Entertainment'],,4000.0,F,-787968000000
785,Arkady Rotenberg,72,Russia,"Construction, pipes, banking",['Construction & Engineering'],,4000.0,M,-569548800000
785,Remo Ruffini,62,Italy,Winter jackets,['Fashion & Retail'],,4000.0,M,-263433600000
785,Klaus-Peter Schulenberg,72,Germany,Ticketing service,['Service'],,4000.0,M,-583977600000
785,Donald Sterling,89,United States,Real estate,['Real Estate'],,4000.0,M,-1126137600000
785,Margaretta Taylor,81,United States,"Media, automotive",['Media & Entertainment'],,4000.0,F,-874627200000
785,Tsai Hong-tu,71,Taiwan,Finance,['Finance & Investments'],,4000.0,M,-549676800000
785,Wang Junlin & family,61,China,Liquor,['Food & Beverage'],,4000.0,M,-231465600000
785,Yao Liangsong,59,China,Furniture,['Manufacturing'],,4000.0,M,-170985600000
785,Zhou Jianping,63,China,Fashion retail,['Fashion & Retail'],,4000.0,M,-302832000000
809,Abdulla bin Ahmad Al Ghurair & family,,United Arab Emirates,Diversified,['Diversified'],Athlete,3900.0,M,
809,Paolo Ardoino,,,Cryptocurrency,['Finance & Investments'],,3900.0,M,
809,Danielle Bellon & family,84,France,Food services,['Service'],,3900.0,F,-943488000000
809,Andrei Bokarev,57,Russia,"Metals, mining",['Manufacturing'],,3900.0,M,-100742400000
809,Jacques D'Amours,67,Canada,Convenience stores,['Fashion & Retail'],Vice President and Cofounder,3900.0,M,-412300800000
809,Robert Duggan,79,United States,Pharmaceuticals,['Healthcare'],,3900.0,M,-810345600000
809,Yakir Gabay,57,United Kingdom,Real estate,['Real Estate'],,3900.0,M,-117417600000
809,Joseph Grendys,62,United States,Poultry processing,['Food & Beverage'],,3900.0,M,-255139200000
809,Alan Howard,60,Switzerland,Hedge funds,['Finance & Investments'],Founder,3900.0,M,-199929600000
809,Jiang Weiping & family,69,China,Chemicals,['Manufacturing'],,3900.0,M,-468288000000
809,Steve Lavin & family,68,United States,Meat processing,['Food & Beverage'],,3900.0,M,-455500800000
809,Eric Lefkofsky,54,United States,"Groupon, investments",['Technology'],,3900.0,M,-10454400000
809,Li Chunan,55,China,Solar wafers and modules,['Manufacturing'],,3900.0,M,-38707200000
809,Gail Miller,80,United States,Car dealerships,['Automotive'],,3900.0,F,-827366400000
809,Gregorio Perez Companc & family,88,Argentina,Oil & gas,['Energy'],,3900.0,M,-1084320000000
809,David Rubenstein,74,United States,Private equity,['Finance & Investments'],Cofounder and Co-executive Chairman,3900.0,M,-643507200000
809,Thomas Siebel,71,United States,Business software,['Technology'],,3900.0,M,-539913600000
809,Peter Spuhler,64,Switzerland,Train cars,['Manufacturing'],,3900.0,M,-326160000000
809,Venu Srinivasan,71,India,Two-wheelers,['Automotive'],,3900.0,M,-538272000000
809,Lawrence Stroll,64,Switzerland,Fashion investments,['Fashion & Retail'],,3900.0,M,-330652800000
809,Pat Stryker,67,United States,Medical equipment,['Healthcare'],,3900.0,F,-433555200000
809,Tsai Cheng-ta,74,Taiwan,Finance,['Finance & Investments'],,3900.0,M,-623376000000
809,Jean-Louis van der Velde,,Hong Kong,Cryptocurrency,['Finance & Investments'],,3900.0,M,
809,Yi Zheng,53,China,Software,['Technology'],,3900.0,M,24796800000
809,Charles Zegar,76,United States,Bloomberg LP,['Finance & Investments'],,3900.0,M,-689212800000
809,Zhang Xuexin & family,76,China,Aluminum,['Metals & Mining'],,3900.0,M,-710208000000
835,Igor Altushkin,53,Russia,Metals,['Metals & Mining'],,3800.0,M,21772800000
835,Madhur Bajaj,71,India,Diversified,['Diversified'],,3800.0,M,-548121600000
835,Niraj Bajaj,69,India,Diversified,['Diversified'],,3800.0,M,-480556800000
835,Shekhar Bajaj,75,India,Diversified,['Diversified'],,3800.0,M,-680572800000
835,Acharya Balkrishna,51,India,Consumer goods,['Food & Beverage'],,3800.0,M,80870400000
835,Stéphane Bancel,51,United States,"Biotech, vaccines",['Healthcare'],,3800.0,M,80438400000
835,Sid Bass,81,United States,"Oil, investments",['Energy'],,3800.0,M,-875145600000
835,Hubert Burda,84,Germany,Publishing,['Media & Entertainment'],,3800.0,M,-943401600000
835,Vanich Chaiyawan,92,Thailand,"Insurance, beverages",['Finance & Investments'],,3800.0,M,-1199232000000
835,Chen Dongsheng,66,China,Insurance,['Finance & Investments'],,3800.0,M,-381369600000
835,James Clark,80,United States,"Netscape, investments",['Technology'],Cofounder,3800.0,M,-813456000000
835,"William Conway, Jr.",74,United States,Private equity,['Finance & Investments'],Co-Chief Executive Officer and Co-founder,3800.0,M,-642124800000
835,Smita Crishna Godrej,73,India,Consumer goods,['Diversified'],,3800.0,F,-599788800000
835,Beatriz Davila de Santo Domingo,85,Bermuda,Beer,['Food & Beverage'],,3800.0,F,-972691200000
835,Behdad Eghbali,47,United States,Private equity,['Finance & Investments'],,3800.0,M,200188800000
835,Fan Hongwei,57,China,Petrochemicals,['Energy'],,3800.0,F,-94694400000
835,José E. Feliciano,50,United States,Private equity,['Finance & Investments'],,3800.0,M,107481600000
835,Bob Gaglardi & family,83,Canada,Hotels,['Real Estate'],,3800.0,M,-910915200000
835,Peter Gassner,59,United States,Software,['Technology'],,3800.0,M,-152928000000
835,Adi Godrej,81,India,Consumer goods,['Diversified'],,3800.0,M,-875664000000
835,Jamshyd Godrej,75,India,"Consumer goods, real estate",['Real Estate'],,3800.0,M,-660700800000
835,Nadir Godrej,73,India,"Consumer goods, real estate",['Diversified'],,3800.0,M,-599616000000
835,Pansy Ho,61,Hong Kong,Casinos,['Gambling & Casinos'],,3800.0,F,-231984000000
835,Miao Hangen,59,China,"Textiles, petrochemicals",['Diversified'],,3800.0,M,-157766400000
835,Masahiro Miki,68,Japan,Shoes,['Fashion & Retail'],,3800.0,M,-455587200000
835,Hiroshi Mikitani,59,Japan,Online retail,['Fashion & Retail'],,3800.0,M,-151804800000
835,Rishad Naoroji,72,India,"Consumer goods, real estate",['Diversified'],,3800.0,M,-578793600000
835,Masahiro Noda,85,Japan,Software,['Technology'],,3800.0,M,-989539200000
835,J. Joe Ricketts & family,82,United States,TD Ameritrade,['Finance & Investments'],,3800.0,M,-898214400000
835,Naguib Sawiris,69,Egypt,Telecom,['Telecom'],,3800.0,M,-490665600000
835,Stephan Schnabel,49,,Chemicals,['Manufacturing'],,3800.0,M,159235200000
835,Wenrong Shen,78,China,Steel production,['Metals & Mining'],,3800.0,M,-753667200000
835,Barry Sternlicht,63,United States,Private equity,['Finance & Investments'],,3800.0,M,-287020800000
835,Tse Ping & family,72,Hong Kong,Pharmaceuticals,['Healthcare'],,3800.0,M,-567907200000
835,Xiao Yongming & family,59,China,Fertilizer,['Diversified'],,3800.0,M,-173664000000
835,Xue Min,67,China,Healthcare,['Healthcare'],,3800.0,M,-410227200000
871,Hayes Barnard,52,United States,Fintech,['Finance & Investments'],,3700.0,M,66960000000
871,Euisun Chung,53,South Korea,Hyundai,['Automotive'],,3700.0,M,25056000000
871,Alceu Elias Feldmann & family,74,Brazil,Fertilizer,['Energy'],,3700.0,M,-647049600000
871,Bruce Flatt,58,United Kingdom,Money management,['Finance & Investments'],Investor,3700.0,M,-144720000000
871,Fu Liquan,56,China,Surveillance equipment,['Technology'],,3700.0,M,-76377600000
871,Alessandra Garavoglia,64,Italy,Spirits,['Food & Beverage'],,3700.0,F,-312508800000
871,Mikhail Gutseriev,66,Russia,"Oil, coal, real estate",['Energy'],,3700.0,M,-372902400000
871,Christian Haub,59,Germany,Retail,['Fashion & Retail'],,3700.0,M,-171849600000
871,Jason Jiang,51,China,Advertising,['Media & Entertainment'],,3700.0,M,94694400000
871,Koon Poh Keong,62,Malaysia,Aluminum,['Manufacturing'],,3700.0,M,-274147200000
871,Mary Alice Dorrance Malone,74,United States,Campbell Soup,['Food & Beverage'],,3700.0,F,-628300800000
871,John Middleton,69,United States,Tobacco,['Food & Beverage'],,3700.0,M,-468201600000
871,Akira Mori & family,87,Japan,Real estate,['Real Estate'],,3700.0,M,-1056326400000
871,Eren Ozmen,65,United States,Aerospace,['Manufacturing'],,3700.0,F,-357523200000
871,Jay Paul,76,United States,Real estate,['Real Estate'],,3700.0,M,-709603200000
871,"H. Ross Perot, Jr.",65,United States,Real estate,['Real Estate'],,3700.0,M,-351907200000
871,Prasert Prasarttong-Osoth,91,Thailand,"Hospitals, airline",['Healthcare'],,3700.0,M,-1160352000000
871,Anthony Pritzker,63,United States,"Hotels, investments",['Service'],,3700.0,M,-283478400000
871,Penny Pritzker,64,United States,"Hotels, investments",['Finance & Investments'],Cofounder,3700.0,F,-336700800000
871,Renzo Rosso & family,68,Italy,Fashion,['Fashion & Retail'],,3700.0,M,-451180800000
